AT,AS,TT,genotype,mass,var_name,var_measure,units,day,plate
24,30,24,G1,2.456,RMR,0.011202947,umol/h,8,1
24,30,24,G2,3.992,RMR,0.01176948,umol/h,8,1
24,30,24,G3,1.744,RMR,0.012842122,umol/h,8,1
24,30,24,G4,1.338,RMR,0.003045055,umol/h,8,1
24,30,24,G5,6.248,RMR,0.01295053,umol/h,8,1
24,30,24,G6,3.595,RMR,0.01446189,umol/h,8,1
24,30,24,G7,3.278,RMR,0.01166772,umol/h,8,1
24,30,24,G8,7.643,RMR,0.013437361,umol/h,8,1
24,15,24,G1,2.075,RMR,0.0367508,umol/h,8,2
24,15,24,G2,8.332,RMR,0.01854599,umol/h,8,2
24,15,24,G3,2.024,RMR,0.0181906,umol/h,8,2
24,15,24,G4,2.73,RMR,0.02391637,umol/h,8,2
24,15,24,G5,5.321,RMR,0.01927784,umol/h,8,2
24,15,24,G6,5.745,RMR,0.0175384,umol/h,8,2
24,15,24,G7,1.772,RMR,0.03808764,umol/h,8,2
24,15,24,G8,9.477,RMR,0.02936943,umol/h,8,2
16,30,24,G1,2.521,RMR,0.01199759,umol/h,8,1
16,30,24,G2,8.14,RMR,0.011874289,umol/h,8,1
16,30,24,G3,3.636,RMR,0.012408553,umol/h,8,1
16,30,24,G4,1.952,RMR,0.013874542,umol/h,8,1
16,30,24,G5,4.397,RMR,0.017324551,umol/h,8,1
16,30,24,G6,2.64,RMR,0.016953235,umol/h,8,1
16,30,24,G7,4.05,RMR,0.01688439,umol/h,8,1
16,30,24,G8,11.153,RMR,0.02412691,umol/h,8,1
16,15,24,G1,2.586,RMR,0.012982357,umol/h,8,2
16,15,24,G2,11.994,RMR,0.008403313,umol/h,8,2
16,15,24,G3,5.743,RMR,0.019920809,umol/h,8,2
16,15,24,G4,9.295,RMR,0.01890037,umol/h,8,2
16,15,24,G5,1.696,RMR,0.011114393,umol/h,8,2
16,15,24,G6,4.618,RMR,0.013703516,umol/h,8,2
16,15,24,G7,2.296,RMR,0.01704735,umol/h,8,2
16,15,24,G8,7.063,RMR,0.010295582,umol/h,8,2
24,30,16,G1,2.192,RMR,0.005489718,umol/h,1,2
24,30,16,G2,5.065,RMR,0.006792512,umol/h,36,2
24,30,16,G3,1.332,RMR,0.005411056,umol/h,1,2
24,30,16,G4,2.031,RMR,0.005163139,umol/h,36,2
24,30,16,G5,3.148,RMR,0.004616557,umol/h,36,2
24,30,16,G6,2.344,RMR,0.002888849,umol/h,36,2
24,30,16,G7,1.265,RMR,0.003993759,umol/h,36,2
24,30,16,G8,3.689,RMR,0.009734076,umol/h,1,2
24,15,16,G1,1.434,RMR,0.006767064,umol/h,36,1
24,15,16,G2,4.416,RMR,0.005945403,umol/h,36,1
24,15,16,G3,2.199,RMR,0.01909051,umol/h,36,1
24,15,16,G4,5.687,RMR,0.01197326,umol/h,36,1
24,15,16,G5,2.968,RMR,0.008224968,umol/h,36,1
24,15,16,G6,3.326,RMR,0.008209279,umol/h,36,1
24,15,16,G7,1.485,RMR,0.008219999,umol/h,36,1
24,15,16,G8,3.576,RMR,0.01517213,umol/h,36,1
16,30,16,G1,3.656,RMR,0.006767064,umol/h,36,2
16,30,16,G2,3.817,RMR,0.005945403,umol/h,36,2
16,30,16,G3,2.125,RMR,0.004107599,umol/h,1,2
16,30,16,G4,1.997,RMR,0.00625216,umol/h,36,2
16,30,16,G5,5.31,RMR,0.01051694,umol/h,36,2
16,30,16,G6,3.227,RMR,0.01140269,umol/h,36,2
16,30,16,G7,1.669,RMR,0.0140724,umol/h,36,2
16,30,16,G8,4.932,RMR,0.007767487,umol/h,36,2
16,15,16,G1,2.567,RMR,0.008224968,umol/h,36,1
16,15,16,G2,11.882,RMR,0.03067518,umol/h,36,1
16,15,16,G3,3.7,RMR,0.007711553,umol/h,36,1
16,15,16,G4,6.891,RMR,0.004714851,umol/h,36,1
16,15,16,G5,2.202,RMR,0.02017866,umol/h,36,1
16,15,16,G6,7.653,RMR,0.004990932,umol/h,36,1
16,15,16,G7,2.442,RMR,0.006055017,umol/h,36,1
16,15,16,G8,10.066,RMR,0.01154198,umol/h,36,1
24,30,24,G1,4.145,TBARS,8.075692564,umol MDA/mg protein,NA,NA
24,30,24,G2,2.827,TBARS,7.467247617,umol MDA/mg protein,NA,NA
24,30,24,G3,3.054,TBARS,7.929383734,umol MDA/mg protein,NA,NA
24,30,24,G4,2.922,TBARS,6.73465494,umol MDA/mg protein,NA,NA
24,30,24,G5,3.535,TBARS,11.05742999,umol MDA/mg protein,NA,NA
24,30,24,G6,1.664,TBARS,10.04998866,umol MDA/mg protein,NA,NA
24,30,24,G7,2.222,TBARS,8.747224305,umol MDA/mg protein,NA,NA
24,30,24,G8,3.376,TBARS,7.644841661,umol MDA/mg protein,NA,NA
24,15,24,G1,1.454,TBARS,8.058125861,umol MDA/mg protein,NA,NA
24,15,24,G2,2.967,TBARS,5.847591938,umol MDA/mg protein,NA,NA
24,15,24,G3,2.145,TBARS,7.266441949,umol MDA/mg protein,NA,NA
24,15,24,G4,4.803,TBARS,6.372498794,umol MDA/mg protein,NA,NA
24,15,24,G5,3.908,TBARS,6.028651755,umol MDA/mg protein,NA,NA
24,15,24,G6,4.852,TBARS,6.323736533,umol MDA/mg protein,NA,NA
24,15,24,G7,3.585,TBARS,7.375332385,umol MDA/mg protein,NA,NA
24,15,24,G8,3.592,TBARS,5.474021637,umol MDA/mg protein,NA,NA
16,30,16,G1,4.622,TBARS,5.581969811,umol MDA/mg protein,NA,NA
16,30,16,G2,8.323,TBARS,3.757555177,umol MDA/mg protein,NA,NA
16,30,16,G3,2.828,TBARS,6.295503415,umol MDA/mg protein,NA,NA
16,30,16,G4,3.802,TBARS,4.711293244,umol MDA/mg protein,NA,NA
16,30,16,G5,6.924,TBARS,5.853577614,umol MDA/mg protein,NA,NA
16,30,16,G6,4.971,TBARS,5.040760214,umol MDA/mg protein,NA,NA
16,30,16,G7,2.512,TBARS,5.003648051,umol MDA/mg protein,NA,NA
16,30,16,G8,6.987,TBARS,4.764245403,umol MDA/mg protein,NA,NA
16,15,16,G1,4.306,TBARS,6.157060781,umol MDA/mg protein,NA,NA
16,15,16,G2,10.005,TBARS,3.314151913,umol MDA/mg protein,NA,NA
16,15,16,G3,4.676,TBARS,5.394212674,umol MDA/mg protein,NA,NA
16,15,16,G4,5.034,TBARS,3.988754944,umol MDA/mg protein,NA,NA
16,15,16,G5,5.537,TBARS,4.032914869,umol MDA/mg protein,NA,NA
16,15,16,G6,6.55,TBARS,4.178690292,umol MDA/mg protein,NA,NA
16,15,16,G7,9.453,TBARS,3.931252523,umol MDA/mg protein,NA,NA
16,15,16,G8,4.661,TBARS,4.373912093,umol MDA/mg protein,NA,NA
24,30,24,G1,5.805,PCC,2.098730708,nmol carbonyl/mg protein,NA,NA
24,30,24,G2,4.252,PCC,1.049555353,nmol carbonyl/mg protein,NA,NA
24,30,24,G3,4.294,PCC,2.867849971,nmol carbonyl/mg protein,NA,NA
24,30,24,G4,6.307,PCC,1.105294369,nmol carbonyl/mg protein,NA,NA
24,30,24,G5,6.731,PCC,0.453256253,nmol carbonyl/mg protein,NA,NA
